time,height
19.03404255319149, 1.558371575580587
19.148936170212767, 10.708872201362816
19.608510638297872, 14.957933528021137
21.102127659574467, 16.185683493255457
21.676595744680853, 18.637533027395357
22.021276595744684, 13.00079961062439
22.595744680851062, 13.900361563064944
22.940425531914894, 12.920490891392017
23.629787234042553, 12.022841051314142
24.089361702127658, 14.964712835488804
26.042553191489365, 16.43825615352524
26.50212765957447, 14.804964539007091
27.076595744680855, 11.45616047837575
27.995744680851065, 12.764740648032262
28.57021276595745, 16.605479071061048
29.14468085106383, 17.096544291475453
30.063829787234045, 15.62734668335419
31.097872340425532, 14.893617021276594
31.55744680851064, 14.159018217215966
32.13191489361702, 10.483416770963704
33.855319148936175, 9.587331386455293
35.11914893617021, 12.203622583785286
35.46382978723405, 14.900222500347656
36.49787234042553, 11.633813099707972
37.07234042553192, 9.83729662077597
37.991489361702136, 9.430190515922682
39.48510638297873, 10.494541788346542
40.05957446808511, 13.028090668891668
41.0936170212766, 11.068870810735643
41.55319148936171, 9.925775274648867
42.01276595744682, 8.864379084967322
42.242553191489364, 7.884334584897786
43.96595744680852, 9.766026978167154
52.468085106382986, 8.63509942984286
53.50212765957447, 7.247774996523432
55.57021276595745, 8.476394103740788
57.52340425531916, 7.008760951188986
58.44255319148937, 9.13433458489779
59.01702127659575, 6.194027256292593
61.889361702127665, 7.587261855096646
62.92340425531916, 8.487519121123626
63.38297872340427, 7.262724238631623
64.0723404255319, 2.6886038103184546
64.87659574468086, 4.160408844388819
65.33617021276595, 5.795091086079822
66.02553191489363, 2.609859546655535
68.43829787234043, 6.208281184814357
69.01276595744682, 7.843137254901958
71.88510638297873, 7.602384925601445
